Date_Short,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,V_SPREAD_OPEN,V_SPREAD_CLOSE,TOTAL_OPEN,TOTAL_CLOSE,V_2H_SPREAD,2H_TOTAL
1020,20211020,523,V,Sacramento,24,38,38,24,124,231.5,234,220,114,5.5,6.5,231.5,234,7,114
1020,20211020,524,H,Portland,23,26,36,36,121,5.5,6.5,-260,7,5.5,6.5,231.5,234,7,114
1020,20211020,525,V,Denver,26,25,34,25,110,224.5,224,200,108.5,6.5,6,224.5,224,1,108.5
1020,20211020,526,H,Phoenix,20,38,24,16,98,6.5,6,-240,1,6.5,6,224.5,224,1,108.5
1021,20211021,527,V,Dallas,20,24,20,23,87,224.5,225.5,120,1,2.5,2.5,224.5,225.5,1,110
1021,20211021,528,H,Atlanta,22,29,35,27,113,2.5,2.5,-140,110,2.5,2.5,224.5,225.5,1,110
1021,20211021,529,V,Milwaukee,17,26,26,26,95,1.5,222.5,130,5.5,1.5,3,224.5,222.5,5.5,114.5
1021,20211021,530,H,Miami,40,32,33,32,137,224.5,3,-150,114.5,1.5,3,224.5,222.5,5.5,114.5
1021,20211021,531,V,LAClippers,27,40,26,20,113,225.5,229,160,116.5,2.5,4,225.5,229,4,116.5
1021,20211021,532,H,GoldenState,44,22,24,25,115,2.5,4,-180,4,2.5,4,225.5,229,4,116.5
1022,20211022,533,V,NewYork,36,29,21,35,121,4.5,7.5,-350,103.5,4.5,7.5,212,212,3.5,103.5
1022,20211022,534,H,Orlando,16,19,29,32,96,212,212,290,3.5,4.5,7.5,212,212,3.5,103.5
1022,20211022,535,V,Charlotte,27,27,36,33,123,3,2.5,-135,2,3,2.5,225.5,226,2,111
1022,20211022,536,H,Cleveland,30,29,30,23,112,225.5,226,115,111,3,2.5,225.5,226,2,111
1022,20211022,537,V,Indiana,36,37,23,27,134,230,2,-130,1.5,2,2,230,225.5,1.5,111.5
1022,20211022,538,H,Washington,32,41,33,17,135,2,225.5,110,111.5,2,2,230,225.5,1.5,111.5
1022,20211022,539,V,Toronto,23,28,33,31,115,221,217.5,240,105,8,7,221,217.5,6.5,105
1022,20211022,540,H,Boston,23,24,17,19,83,8,7,-280,6.5,8,7,221,217.5,6.5,105
1022,20211022,541,V,Brooklyn,28,27,30,29,114,1,1,-120,2.5,1,1,229.5,224.5,2.5,109.5
1022,20211022,542,H,Philadelphia,34,28,29,18,109,229.5,224.5,100,109.5,1,1,229.5,224.5,2.5,109.5
1022,20211022,543,V,OklahomaCity,21,26,26,18,91,225.5,221,130,5.5,3,2.5,225.5,221,5.5,107
1022,20211022,544,H,Houston,34,35,31,24,124,3,2.5,-150,107,3,2.5,225.5,221,5.5,107
1022,20211022,545,V,NewOrleans,17,30,28,37,112,224,222.5,235,2,6.5,7,224,222.5,2,113.5
1022,20211022,546,H,Chicago,28,37,27,36,128,6.5,7,-275,113.5,6.5,7,224,222.5,2,113.5
1022,20211022,547,V,SanAntonio,22,28,20,26,96,219,222,260,108,8,7.5,219,222,4,108
1022,20211022,548,H,Denver,26,27,26,23,102,8,7.5,-310,4,8,7.5,219,222,4,108
1022,20211022,549,V,Phoenix,23,34,37,21,115,226.5,222,105,112.5,3,1.5,226.5,222,5,112.5
1022,20211022,550,H,LALakers,26,18,23,38,105,3,1.5,-125,5,3,1.5,226.5,222,5,112.5
1022,20211022,551,V,Utah,24,22,35,29,110,6,6.5,-240,5,6,6.5,226.5,227,5,116.5
1022,20211022,552,H,Sacramento,26,26,28,21,101,226.5,227,200,116.5,6,6.5,226.5,227,5,116.5
1023,20211023,553,V,Atlanta,27,28,17,23,95,3,8.5,-360,4.5,3,8.5,223,223.5,4.5,109.5
1023,20211023,554,H,Cleveland,24,28,31,18,101,223,223.5,300,109.5,3,8.5,223,223.5,4.5,109.5
1023,20211023,555,V,Miami,24,22,17,23,91,3,3,-155,4.5,3,3,224,222,4.5,107.5
1023,20211023,556,H,Indiana,28,28,8,22,102,224,222,135,107.5,3,3,224,222,4.5,107.5
1023,20211023,557,V,Dallas,18,27,29,29,103,3.5,5,-190,4.5,3.5,5,218,217.5,4.5,105
1023,20211023,558,H,Toronto,25,26,21,23,95,218,217.5,170,105,3.5,5,218,217.5,4.5,105
1023,20211023,559,V,NewOrleans,27,14,26,22,89,226,228.5,260,0.5,6,7.5,226,228.5,0.5,115.5
1023,20211023,560,H,Minnesota,28,26,15,27,96,6,7.5,-310,115.5,6,7.5,226,228.5,0.5,115.5
1023,20211023,561,V,Detroit,28,15,11,28,82,214.5,213.5,280,104,9,8,214.5,213.5,1,104
1023,20211023,562,H,Chicago,31,23,25,18,97,9,8,-340,1,9,8,214.5,213.5,1,104
1023,20211023,563,V,Milwaukee,32,24,29,36,121,7.5,6,-250,2.5,7.5,6,223.5,225.5,2.5,114.5
1023,20211023,564,H,SanAntonio,32,20,29,30,111,223.5,225.5,210,114.5,7.5,6,223.5,225.5,2.5,114.5
1023,20211023,565,V,Phoenix,24,23,34,24,105,232,229,135,4,2,3,232,229,4,116.5
1023,20211023,566,H,Portland,30,37,39,28,134,2,3,-155,116.5,2,3,232,229,4,116.5
1023,20211023,567,V,Memphis,25,34,38,23,120,226,226,155,115.5,3.5,4,226,226,1.5,115.5
1023,20211023,568,H,LAClippers,34,28,27,25,114,3.5,4,-175,1.5,3.5,4,226,226,1.5,115.5
1024,20211024,569,V,Charlotte,27,23,29,32,111,231.5,233,350,114.5,8.5,9,231.5,233,3,114.5
1024,20211024,570,H,Brooklyn,31,27,20,17,95,8.5,9,-420,3,8.5,9,231.5,233,3,114.5
1024,20211024,571,V,Orlando,27,25,22,36,110,215,212,600,108,12,12,215,212,5.5,108
1024,20211024,572,H,NewYork,29,28,23,24,104,12,12,-900,5.5,12,12,215,212,5.5,108
1024,20211024,573,V,Boston,22,31,36,18,107,6,5,-210,3.5,6,5,225.5,221.5,3.5,113
1024,20211024,574,H,Houston,30,21,21,25,97,225.5,221.5,180,113,6,5,225.5,221.5,3.5,113
1024,20211024,575,V,Philadelphia,36,23,28,28,115,7.5,9.5,-500,3,7.5,9.5,216.5,216,3,106
1024,20211024,576,H,OklahomaCity,26,25,27,25,103,216.5,216,400,106,7.5,9.5,216.5,216,3,106
1024,20211024,577,V,GoldenState,29,31,30,29,119,3,3,-150,3.5,3,3,231,234.5,3.5,114.5
1024,20211024,578,H,Sacramento,31,31,26,19,107,231,234.5,130,114.5,3,3,231,234.5,3.5,114.5
1024,20211024,579,V,Memphis,24,32,34,28,118,221,225.5,180,115,6,5.5,221,225.5,1.5,115
1024,20211024,580,H,LALakers,29,33,25,34,121,6,5.5,-210,1.5,6,5.5,221,225.5,1.5,115
1025,20211025,501,V,Milwaukee,34,32,35,18,119,3,1,-115,117.5,3,1,10.5,229.5,2.5,117.5
1025,20211025,502,H,Indiana,30,27,29,23,109,10.5,229.5,-105,2.5,10.5,1,3,229.5,2.5,117.5
1025,20211025,503,V,Boston,33,35,26,28,140,1,2,-130,1,1,2,224,225,1,115
1025,20211025,504,H,Charlotte,33,33,31,25,129,224,225,110,115,1,2,224,225,1,115
1025,20211025,505,V,Orlando,15,29,26,20,90,213.5,211.5,700,108,14,13.5,213.5,211.5,4,108
1025,20211025,506,H,Miami,27,30,24,26,107,14,13.5,-1100,4,14,13.5,213.5,211.5,4,108
1025,20211025,507,V,Chicago,24,37,31,19,111,2.5,2,-135,109.5,2.5,2,213,213.5,2.5,109.5
1025,20211025,508,H,Toronto,24,27,29,28,108,213,213.5,115,2.5,2.5,2,213,213.5,2.5,109.5
1025,20211025,509,V,Detroit,18,36,25,25,104,213.5,212.5,525,104.5,10.5,11.5,213.5,212.5,4,104.5
1025,20211025,510,H,Atlanta,28,34,33,27,122,10.5,11.5,-750,4,10.5,11.5,213.5,212.5,4,104.5
1025,20211025,511,V,Washington,20,22,22,26,90,233.5,229,200,2,7.5,6,233.5,229,2,111.5
1025,20211025,512,H,Brooklyn,38,21,23,22,104,7.5,6,-240,111.5,7.5,6,233.5,229,2,111.5
1025,20211025,513,V,NewOrleans,25,29,26,27,107,225,224.5,190,113.5,5.5,5.5,225,224.5,6,113.5
1025,20211025,514,H,Minnesota,19,24,30,25,98,5.5,5.5,-220,6,5.5,5.5,225,224.5,6,113.5
1025,20211025,515,V,Cleveland,29,21,25,24,99,220.5,221,400,107,10.5,9.5,220.5,221,7.5,107
1025,20211025,516,H,Denver,24,22,24,17,87,10.5,9.5,-500,7.5,10.5,9.5,220.5,221,7.5,107
1025,20211025,517,V,Portland,17,25,19,25,86,234.5,229.5,120,4,3,2.5,234.5,229.5,4,117
1025,20211025,518,H,LAClippers,31,25,35,25,116,3,2.5,-140,117,3,2.5,234.5,229.5,4,117
1026,20211026,519,V,Philadelphia,26,16,30,27,99,218.5,217,100,5.5,1,1,218.5,217,5.5,105.5
1026,20211026,520,H,NewYork,23,39,28,22,112,1,1,-120,105.5,1,1,218.5,217,5.5,105.5
1026,20211026,521,V,GoldenState,29,19,33,25,106,9,11,-600,11,9,11,224,223.5,11,108.5
1026,20211026,522,H,OklahomaCity,34,25,17,22,98,224,223.5,450,108.5,9,11,224,223.5,11,108.5
1026,20211026,523,V,Houston,31,29,28,18,106,220.5,222.5,475,109,11,11,220.5,222.5,8.5,109
1026,20211026,524,H,Dallas,27,30,34,25,116,11,11,-650,8.5,11,11,220.5,222.5,8.5,109
1026,20211026,525,V,LALakers,27,34,24,29,125,4.5,220,115,109,4.5,2,220,220,1,109
1026,20211026,526,H,SanAntonio,29,33,35,17,121,220,2,-135,1,4.5,2,220,220,1,109
1026,20211026,527,V,Denver,31,33,26,20,110,220,218.5,265,106.5,7,7.5,220,218.5,6,106.5
1026,20211026,528,H,Utah,35,31,25,31,122,7,7.5,-320,6,7,7.5,220,218.5,6,106.5
1027,20211027,529,V,Charlotte,31,33,27,29,120,6.5,5.5,-210,3,6.5,5.5,220.5,221,3,107
1027,20211027,530,H,Orlando,31,30,32,18,111,220.5,221,180,107,6.5,5.5,220.5,221,3,107
1027,20211027,531,V,Miami,29,20,32,25,106,222.5,218,140,106.5,5,3.5,222.5,218,1.5,106.5
